シーズン,話,国,店名,ハングル店名,エリア,紹介料理,看板メニュー,営業時間,定休日,口コミ,住所,韓国住所,Googleマップ,Naverマップ
S1,12,韓国,ハンソンカルグクス,한성칼국수,ソウル・江南区,カルグクス,"カルグクス 11,000〜12,000ウォン / 수육（ゆで肉）小33,000／大44,000ウォン / 제육 小30,000／大39,000ウォン / 낙지볶음（タコ炒め）40,000ウォン",11:30-21:00（15:00-17:00ブレイクタイム）※要確認（11:30-20:00表記の資料もあり）,土曜,1983年創業の手打ちカルグクス老舗。다이닝코드4.0点(31件)。味4.6と高評価で『澄んだスープのカルグクスが美味しい』『수육が柔らかい』。一方で『価格が高め』との声も。『隣の国のグルメイト』12話登場。,ソウル江南区彦州路148キル14,서울특별시 강남구 언주로148길 14 (논현동),https://www.google.com/maps/search/?api=1&query=%E3%83%8F%E3%83%B3%E3%82%BD%E3%83%B3%E3%82%AB%E3%83%AB%E3%82%B0%E3%82%AF%E3%82%B9%20%E3%82%BD%E3%82%A6%E3%83%AB%E6%B1%9F%E5%8D%97%E5%8C%BA%E5%BD%A6%E5%B7%9E%E8%B7%AF148%E3%82%AD%E3%83%AB14,https://map.naver.com/p/search/%ED%95%9C%EC%84%B1%EC%B9%BC%EA%B5%AD%EC%88%98
S1,13,韓国,ウジョン ヤンコプチャン,우정양곱창,ソウル・江南区,焼きコプチャン（ホルモン）,"モドゥム（盛り合わせ）中 96,000ウォン／大 126,000ウォン / 特ヤン焼き 追加44,000ウォン / コプチャン焼き 追加48,000ウォン / 特ヤンご飯 20,000ウォン",16:30-22:00（L.O.20:30〜20:45）,日曜,다이닝코드4.3点(9件)・ブルーリボン選定店。『コプチャン界のエルメス』と称される高級ホルモン店。『脂がたっぷりで臭みなく上品』と高評価だが『価格が高め』との声。『隣の国のグルメイト』13話登場。,ソウル江南区道山大路30ギル23 1階,서울특별시 강남구 도산대로30길 23 (논현동 67-11),https://www.google.com/maps/search/?api=1&query=%E3%82%A6%E3%82%B8%E3%83%A7%E3%83%B3%20%E3%83%A4%E3%83%B3%E3%82%B3%E3%83%97%E3%83%81%E3%83%A3%E3%83%B3%20%E3%82%BD%E3%82%A6%E3%83%AB%E6%B1%9F%E5%8D%97%E5%8C%BA%E9%81%93%E5%B1%B1%E5%A4%A7%E8%B7%AF30%E3%82%AE%E3%83%AB23%201%E9%9A%8E,https://map.naver.com/p/search/%EC%9A%B0%EC%A0%95%EC%96%91%EA%B3%B1%EC%B0%BD
S2,14,日本,鶏炭火焼 らくだ山,,熊本・高森,地鶏の炭火焼き,"定食（焼き鶏・あわめし・味噌汁・卵・野菜・漬物）2,700円(税込)〜 / 焼き鶏 単品 2,150円(税込)〜 / あわめし 単品 300円(税込)",平日 11:00-16:00（最終受付）／土日祝 10:30-16:00（最終受付）,水曜,囲炉裏を囲んで地鶏を炭火焼きする人気店。待ち時間が長く満席が常で『鶏の味と香りを存分に楽しめる』と評判。ネット・電話予約は不可で直接来店制。駐車場30台。,熊本県阿蘇郡高森町高森2693-4,,https://www.google.com/maps/search/?api=1&query=%E9%B6%8F%E7%82%AD%E7%81%AB%E7%84%BC%20%E3%82%89%E3%81%8F%E3%81%A0%E5%B1%B1%20%E7%86%8A%E6%9C%AC%E7%9C%8C%E9%98%BF%E8%98%87%E9%83%A1%E9%AB%98%E6%A3%AE%E7%94%BA%E9%AB%98%E6%A3%AE2693-4,
S2,15,韓国,ナミャンジュ ジンミ アヒル炭火焼,진미오리숯불구이,京畿道・南楊州市,炭火焼きアヒル,"アヒル1羽（900g・3〜4人）60,000ウォン / アヒル1羽（700g・2人）50,000ウォン / ハーフ 35,000ウォン / ビビン麺 7,000ウォン / 味噌チゲ 5,000ウォン",11:00-20:30（15:00-16:30ブレイクタイム、L.O.19:00）,月曜（火曜休との情報もあり）※要確認,다이닝코드4.5点(17件)/ダコ点数80点。味4.9と非常に高評価。屋外席・ビニールハウス風の店で炭火焼きアヒルが名物。Netflix『クレイジーデリシャス』S2にも登場し人気急上昇。京畿道南楊州市和北面（律石里）。,京畿道南楊州市和北面栗石里452-1,경기 남양주시 와부읍 석실로율석길 58,https://www.google.com/maps/search/?api=1&query=%E3%83%8A%E3%83%9F%E3%83%A3%E3%83%B3%E3%82%B8%E3%83%A5%20%E3%82%B8%E3%83%B3%E3%83%9F%20%E3%82%A2%E3%83%92%E3%83%AB%E7%82%AD%E7%81%AB%E7%84%BC%20%E4%BA%AC%E7%95%BF%E9%81%93%E5%8D%97%E6%A5%8A%E5%B7%9E%E5%B8%82%E5%92%8C%E5%8C%97%E9%9D%A2%E6%A0%97%E7%9F%B3%E9%87%8C452-1,https://map.naver.com/p/search/%EC%A7%84%EB%AF%B8%EC%98%A4%EB%A6%AC%EC%88%AF%EB%B6%88%EA%B5%AC%EC%9D%B4
S2,16,日本,福山ラーメン（フクザンラーメン）,,福岡・田隈,豚骨ラーメン,ラーメン 600円 / 替え玉 100円 / チャーハン 450円 / 餃子 350円 / ワンタン麺 950円,月 11:00-15:00／水〜日 11:00-20:00,火曜,食べログ3.70点(961件)/2025年ラーメン百名店。福岡・田隈2-24-2の正統派博多豚骨ラーメンの老舗（実店名は『ふくちゃんラーメン 田隈本店』）。細麺＋生にんにくが隠し味。開店から行列で40分〜1時間待ちも珍しくない人気店。,福岡県福岡市早良区田隈2-24-2,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B1%B1%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%EF%BC%88%E3%83%95%E3%82%AF%E3%82%B6%E3%83%B3%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%EF%BC%89%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%97%A9%E8%89%AF%E5%8C%BA%E7%94%B0%E9%9A%882-24-2,
S2,17,韓国,チャヤンドン スンデグクパプ,맛좋은순대국,ソウル・広津区,豚足スープご飯（スンデグク）,"スンデグクパプ 10,000ウォン／特 11,000ウォン / 술국（酒のあてスープ）20,000ウォン / 内臓 20,000ウォン / 頭肉 20,000ウォン / 수육半皿 12,000ウォン",11:00-21:00（14:00-17:00ブレイクタイム）※要確認,日曜,店名『맛좋은순대국（マッチョウン スンデグク）』。広津区自陽洞585-19の老舗。다이닝코드3.6点(6件)、接客4.7と高評価で『スープが濃厚で深い風味、臭みなく澄んだ味』。ソン・シギョンの『먹을텐데』やNetflix『美味しんぼ系』にも登場。『隣の国のグルメイト』S2とんこつ編登場。,ソウル市広津区唱仁洞585-19,서울특별시 광진구 자양번영로1길 22 (자양동 585-19),https://www.google.com/maps/search/?api=1&query=%E3%83%81%E3%83%A3%E3%83%A4%E3%83%B3%E3%83%89%E3%83%B3%20%E3%82%B9%E3%83%B3%E3%83%87%E3%82%B0%E3%82%AF%E3%83%91%E3%83%97%20%E3%82%BD%E3%82%A6%E3%83%AB%E5%B8%82%E5%BA%83%E6%B4%A5%E5%8C%BA%E5%94%B1%E4%BB%81%E6%B4%9E585-19,https://map.naver.com/p/search/%EB%A7%9B%EC%A2%8B%EC%9D%80%EC%88%9C%EB%8C%80%EA%B5%AD
S2,18,韓国,鍾路 西湖荘（ソホジャン）,서호장,ソウル・鍾路区,中華（ジャージャー麺・チャンポン）,"チャジャンミョン（ジャージャー麺）8,000ウォン / チャンポン 10,000ウォン / 酢豚（タンスユク）23,000ウォン / ユーリンチー（깐풍기）23,000ウォン",11:00〜21:00（ブレイクタイム15:00〜17:00、L.O.20:00）,日曜,ダイニングコード3.8/5（タコ点72点）。約70年の老舗で『基本に忠実な味』『コスパの良い中華』と評価。焼き餃子のカリッと感、辛くてスッキリしたチャンポンが好評。一方で『味付けが薄め』との声も。鍾路の会社員に人気。,ソウル特別市鍾路区水標路91-1,서울특별시 종로구 수표로 91-1,https://www.google.com/maps/search/?api=1&query=%E9%8D%BE%E8%B7%AF%20%E8%A5%BF%E6%B9%96%E8%8D%98%EF%BC%88%E3%82%BD%E3%83%9B%E3%82%B8%E3%83%A3%E3%83%B3%EF%BC%89%20%E3%82%BD%E3%82%A6%E3%83%AB%E7%89%B9%E5%88%A5%E5%B8%82%E9%8D%BE%E8%B7%AF%E5%8C%BA%E6%B0%B4%E6%A8%99%E8%B7%AF91-1,https://map.naver.com/p/search/%EC%84%9C%ED%98%B8%EC%9E%A5
S2,19,日本,福や（Fukuya）,,大阪・堺,お好み焼き・焼きそば,お好み焼き / 焼きそば / ソース焼きメシ / イカたまご焼き,月〜金 11:30〜22:00／日・祝 11:30〜21:00（※要確認）,木曜,Yahoo!マップ4.19、食べログ3.33（口コミ43件）。焼きそばは『ソースがあっさりなのに甘みが癖になる』と好評。創業昭和25年の老舗で三代目夫婦が継承。一品料理も豊富。,大阪府堺市堺区大町東2-1-21,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E3%82%84%EF%BC%88Fukuya%EF%BC%89%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A0%BA%E5%B8%82%E5%A0%BA%E5%8C%BA%E5%A4%A7%E7%94%BA%E6%9D%B12-1-21,
S2,20,韓国,漢江公園（漢江ラーメン）,여의도한강공원 (한강라면),ソウル・漢江,漢江ラーメン（即席ラーメン自販機）,"漢江ラーメン（袋麺を専用自販機・自動調理機で調理）約4,800ウォン〜（麺代＋調理機利用）",漢江公園内のコンビニ（セブンイレブン・CU等）に自動調理機を設置。汝矣ナル駅近くのセブンイレブンは24時間営業（※店舗により異なる・要確認）,情報なし（コンビニ営業に準ずる）,店ではなく漢江公園のコンビニで袋麺を選び自動調理機で作るスタイル。『夜風に吹かれて食べるラーメンが格別に美味しい』とSNS・口コミで人気。韓国ドラマやBTSの聖地としても有名。操作はボタン1つで簡単。,ソウル 漢江公園,서울특별시 영등포구 여의동로 330 여의도한강공원,https://www.google.com/maps/search/?api=1&query=%E6%BC%A2%E6%B1%9F%E5%85%AC%E5%9C%92%EF%BC%88%E6%BC%A2%E6%B1%9F%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%EF%BC%89%20%E3%82%BD%E3%82%A6%E3%83%AB%20%E6%BC%A2%E6%B1%9F%E5%85%AC%E5%9C%92,https://map.naver.com/p/search/%EC%97%AC%EC%9D%98%EB%8F%84%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90%20%28%ED%95%9C%EA%B0%95%EB%9D%BC%EB%A9%B4%29
S2,21,日本,和栗専門 紗織,,京都・下京区,モンブラン,"錦糸モンブラン『紗』（丹波産栗のみ）3,080円 / モンブラン『絽』（国産和栗）2,420円 / モンブラン『紬』（国産和栗）1,980円 / 栗粉もち・モンブランソフト 等",10:00〜18:00（L.O.17:30）／テイクアウト11:00〜17:00。毎朝9時より当日分の整理券配布,不定休,京丹波くりなど最高級和栗を使った絞りたて錦糸モンブランが看板。京都の人気スイーツ店として整理券制になるほどの行列。Retty・各グルメサイトで高評価。34席（テーブル・カウンター）。,京都府京都市下京区和泉屋町170-1,,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E6%A0%97%E5%B0%82%E9%96%80%20%E7%B4%97%E7%B9%94%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E4%BA%AC%E9%83%BD%E5%B8%82%E4%B8%8B%E4%BA%AC%E5%8C%BA%E5%92%8C%E6%B3%89%E5%B1%8B%E7%94%BA170-1,
S2,22,日本,割烹 よし多多 店屋町店,,福岡・博多,日本産イカ料理,いか活造り / 鯛茶漬（名物） / 日本料理コース,昼 11:30〜14:30（L.O.14:00）／夜 17:00〜22:30（L.O.21:30）、土日祝は夜17:00〜22:00（L.O.21:00）,不定休,中洲川端の老舗割烹『よし田』の博多店屋町店。名物の鯛茶漬と、毎日直送の『いか活造り』が観光客にも人気。地下鉄呉服町駅から徒歩3分。,福岡県福岡市博多区店屋町1-16,,https://www.google.com/maps/search/?api=1&query=%E5%89%B2%E7%83%B9%20%E3%82%88%E3%81%97%E5%A4%9A%E5%A4%9A%20%E5%BA%97%E5%B1%8B%E7%94%BA%E5%BA%97%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%A6%8F%E5%B2%A1%E5%B8%82%E5%8D%9A%E5%A4%9A%E5%8C%BA%E5%BA%97%E5%B1%8B%E7%94%BA1-16,
S2,23,韓国,奉天洞 ヘテ食堂,해태식당,ソウル・冠岳区,生テナガダコ料理,"ヨンポタン定食（連浦湯）25,000ウォン / ナクチポックム（テナガダコ炒め）25,000ウォン",11:00〜22:00（※要確認）,情報なし（要確認）,Netflix『料理人ゴロー』や成始璟も訪れた人気のテナガダコ専門店。新鮮でぷりぷりのナクチ炒め、ミナリをのせて辛く炒めるのが特徴。連浦湯はテーブルで食べやすく切り分け、頭は別途茹でて提供。全羅道スタイルの惣菜も好評。やや高めだが値打ちありとの評価。,ソウル冠岳区奉天洞883-8,서울특별시 관악구 청룡1길 33,https://www.google.com/maps/search/?api=1&query=%E5%A5%89%E5%A4%A9%E6%B4%9E%20%E3%83%98%E3%83%86%E9%A3%9F%E5%A0%82%20%E3%82%BD%E3%82%A6%E3%83%AB%E5%86%A0%E5%B2%B3%E5%8C%BA%E5%A5%89%E5%A4%A9%E6%B4%9E883-8,https://map.naver.com/p/search/%ED%95%B4%ED%83%9C%EC%8B%9D%EB%8B%B9
S2,24,日本,ヨシヅカウナギ店 ほか（小倉のうなぎ）,,福岡・小倉,うなぎ料理,うなぎ蒲焼 / うな重・うな丼 / せいろ蒸し（地域により）,10:00〜21:00（案内開始10:30／L.O.20:15）。※小倉エリアの個別店舗は要確認,（吉塚うなぎ屋本店の場合）第2・4火曜＋毎週水曜、お盆・正月休み。※個別店舗は要確認,番組では小倉のうなぎ店（吉塚うなぎ屋ほか）を紹介。吉塚うなぎ屋は創業明治6年の老舗で、独自の焼き技『こなし』により外はカリッと中はふっくらの蒲焼きが名物。食べログ等で高評価。予約は電話のみ。※小倉の具体的店舗の営業情報は要確認。,福岡県北九州市小倉,,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%82%B7%E3%83%85%E3%82%AB%E3%82%A6%E3%83%8A%E3%82%AE%E5%BA%97%20%E3%81%BB%E3%81%8B%EF%BC%88%E5%B0%8F%E5%80%89%E3%81%AE%E3%81%86%E3%81%AA%E3%81%8E%EF%BC%89%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%E5%B0%8F%E5%80%89,
S2,25,韓国,ヨンチョン旧式チキン,영천통닭,京畿道・議政府市,昔ながらの鶏料理,"ヨンチョン通鶏（昔ながらの丸鶏揚げ）12,000ウォン / ヤンニョム通鶏 16,000ウォン / 鶏一匹セット 20,000ウォン / コルベンイソミョン（つぶ貝そうめん和え）20,000ウォン",12:00〜24:00（※要確認）,情報なし（要確認）,議政府の昔ながらの『옛날통닭（昔通鶏）』店、ヨンチョン・カマソッ（釜）通鶏。釜で直接揚げる様子が見られ、揚げたてを店主が手で割いて提供。『親切な店主』『リーズナブル』とブログ口コミで好評。,京畿道議政府市太平路89番ギル8,경기도 의정부시 태평로89번길 8,https://www.google.com/maps/search/?api=1&query=%E3%83%A8%E3%83%B3%E3%83%81%E3%83%A7%E3%83%B3%E6%97%A7%E5%BC%8F%E3%83%81%E3%82%AD%E3%83%B3%20%E4%BA%AC%E7%95%BF%E9%81%93%E8%AD%B0%E6%94%BF%E5%BA%9C%E5%B8%82%E5%A4%AA%E5%B9%B3%E8%B7%AF89%E7%95%AA%E3%82%AE%E3%83%AB8,https://map.naver.com/p/search/%EC%98%81%EC%B2%9C%ED%86%B5%EB%8B%AD
